1,0.298,19.9,0
10,0.298,19.9,-1
20,0.299,20.3,-4
30,0.3,21.1,-6
40,0.3,22.2,-9
50,0.251,19.7,-12
60,0.252,21.5,-16
70,0.201,19.1,-22
80,0.198,21.8,-29
90,0.15,18.9,-39
100,0.151,21.2,-58
110,0.151,21.3,-81
120,0.15,19.5,-103
130,0.15,17.1,-118
140,0.199,17.2,-130
150,0.199,14.8,-139
160,0.199,12.5,-147
170,0.199,10.5,-152
180,0.199,8.96,-156
190,0.199,7.71,-159
200,0.199,6.67,-161
300,0.199,2.45,-172
400,0.198,1.27,-177
500,0.196,0.764,-180
600,0.196,0.514,-182
800,0.196,0.277,-183
1000,0.196,0.17,-184
