Freq.	-V(n002)/I(R3)
1.00000000000000e+003	(1.38541377542370e+002dB,-3.59442574844518e+001°)
1.00230523807790e+003	(1.38534511493347e+002dB,-3.60071693896484e+001°)
1.00461579027840e+003	(1.38527624649553e+002dB,-3.60701270728700e+001°)
1.00693166885180e+003	(1.38520716981037e+002dB,-3.61331302679005e+001°)
1.00925288607668e+003	(1.38513788458001e+002dB,-3.61961787074761e+001°)
1.01157945425990e+003	(1.38506839050807e+002dB,-3.62592721232884e+001°)
1.01391138573668e+003	(1.38499868729974e+002dB,-3.63224102459883e+001°)
1.01624869287070e+003	(1.38492877466181e+002dB,-3.63855928051949e+001°)
1.01859138805412e+003	(1.38485865230267e+002dB,-3.64488195294944e+001°)
1.02093948370768e+003	(1.38478831993232e+002dB,-3.65120901464501e+001°)
1.02329299228075e+003	(1.38471777726241e+002dB,-3.65754043826040e+001°)
1.02565192625141e+003	(1.38464702400619e+002dB,-3.66387619634816e+001°)
1.02801629812647e+003	(1.38457605987859e+002dB,-3.67021626135971e+001°)
1.03038612044162e+003	(1.38450488459619e+002dB,-3.67656060564617e+001°)
1.03276140576140e+003	(1.38443349787721e+002dB,-3.68290920145818e+001°)
1.03514216667934e+003	(1.38436189944159e+002dB,-3.68926202094704e+001°)
1.03752841581801e+003	(1.38429008901093e+002dB,-3.69561903616489e+001°)
1.03992016582906e+003	(1.38421806630855e+002dB,-3.70198021906527e+001°)
1.04231742939330e+003	(1.38414583105945e+002dB,-3.70834554150380e+001°)
1.04472021922080e+003	(1.38407338299038e+002dB,-3.71471497523844e+001°)
1.04712854805090e+003	(1.38400072182980e+002dB,-3.72108849193017e+001°)
1.04954242865232e+003	(1.38392784730792e+002dB,-3.72746606314338e+001°)
1.05196187382322e+003	(1.38385475915670e+002dB,-3.73384766034701e+001°)
1.05438689639126e+003	(1.38378145710985e+002dB,-3.74023325491409e+001°)
1.05681750921366e+003	(1.38370794090285e+002dB,-3.74662281812313e+001°)
1.05925372517729e+003	(1.38363421027298e+002dB,-3.75301632115834e+001°)
1.06169555719872e+003	(1.38356026495929e+002dB,-3.75941373511024e+001°)
1.06414301822431e+003	(1.38348610470264e+002dB,-3.76581503097605e+001°)
1.06659612123026e+003	(1.38341172924569e+002dB,-3.77222017966066e+001°)
1.06905487922266e+003	(1.38333713833292e+002dB,-3.77862915197699e+001°)
1.07151930523761e+003	(1.38326233171065e+002dB,-3.78504191864641e+001°)
1.07398941234124e+003	(1.38318730912703e+002dB,-3.79145845029960e+001°)
1.07646521362983e+003	(1.38311207033206e+002dB,-3.79787871747705e+001°)
1.07894672222983e+003	(1.38303661507759e+002dB,-3.80430269062929e+001°)
1.08143395129794e+003	(1.38296094311735e+002dB,-3.81073034011860e+001°)
1.08392691402120e+003	(1.38288505420695e+002dB,-3.81716163621828e+001°)
1.08642562361706e+003	(1.38280894810386e+002dB,-3.82359654911397e+001°)
1.08893009333343e+003	(1.38273262456748e+002dB,-3.83003504890421e+001°)
1.09144033644875e+003	(1.38265608335908e+002dB,-3.83647710560099e+001°)
1.09395636627209e+003	(1.38257932424186e+002dB,-3.84292268913028e+001°)
1.09647819614318e+003	(1.38250234698096e+002dB,-3.84937176933333e+001°)
1.09900583943252e+003	(1.38242515134342e+002dB,-3.85582431596612e+001°)
1.10153930954141e+003	(1.38234773709824e+002dB,-3.86228029870096e+001°)
1.10407861990207e+003	(1.38227010401637e+002dB,-3.86873968712669e+001°)
1.10662378397766e+003	(1.38219225187070e+002dB,-3.87520245074969e+001°)
1.10917481526240e+003	(1.38211418043612e+002dB,-3.88166855899420e+001°)
1.11173172728159e+003	(1.38203588948947e+002dB,-3.88813798120313e+001°)
1.11429453359173e+003	(1.38195737880958e+002dB,-3.89461068663889e+001°)
1.11686324778056e+003	(1.38187864817729e+002dB,-3.90108664448360e+001°)
1.11943788346715e+003	(1.38179969737541e+002dB,-3.90756582384025e+001°)
1.12201845430196e+003	(1.38172052618880e+002dB,-3.91404819373328e+001°)
1.12460497396692e+003	(1.38164113440430e+002dB,-3.92053372310890e+001°)
1.12719745617551e+003	(1.38156152181081e+002dB,-3.92702238083638e+001°)
1.12979591467279e+003	(1.38148168819925e+002dB,-3.93351413570836e+001°)
1.13240036323555e+003	(1.38140163336259e+002dB,-3.94000895644138e+001°)
1.13501081567231e+003	(1.38132135709584e+002dB,-3.94650681167725e+001°)
1.13762728582343e+003	(1.38124085919608e+002dB,-3.95300766998304e+001°)
1.14024978756117e+003	(1.38116013946248e+002dB,-3.95951149985250e+001°)
1.14287833478977e+003	(1.38107919769623e+002dB,-3.96601826970595e+001°)
1.14551294144553e+003	(1.38099803370066e+002dB,-3.97252794789146e+001°)
1.14815362149688e+003	(1.38091664728117e+002dB,-3.97904050268609e+001°)
1.15080038894443e+003	(1.38083503824525e+002dB,-3.98555590229556e+001°)
1.15345325782109e+003	(1.38075320640251e+002dB,-3.99207411485587e+001°)
1.15611224219210e+003	(1.38067115156468e+002dB,-3.99859510843351e+001°)
1.15877735615512e+003	(1.38058887354560e+002dB,-4.00511885102631e+001°)
1.16144861384034e+003	(1.38050637216125e+002dB,-4.01164531056467e+001°)
1.16412602941049e+003	(1.38042364722973e+002dB,-4.01817445491174e+001°)
1.16680961706096e+003	(1.38034069857131e+002dB,-4.02470625186424e+001°)
1.16949939101987e+003	(1.38025752600839e+002dB,-4.03124066915357e+001°)
1.17219536554813e+003	(1.38017412936554e+002dB,-4.03777767444606e+001°)
1.17489755493953e+003	(1.38009050846949e+002dB,-4.04431723534435e+001°)
1.17760597352080e+003	(1.38000666314915e+002dB,-4.05085931938783e+001°)
1.18032063565173e+003	(1.37992259323561e+002dB,-4.05740389405331e+001°)
1.18304155572516e+003	(1.37983829856213e+002dB,-4.06395092675599e+001°)
1.18576874816716e+003	(1.37975377896418e+002dB,-4.07050038485033e+001°)
1.18850222743701e+003	(1.37966903427943e+002dB,-4.07705223563053e+001°)
1.19124200802737e+003	(1.37958406434775e+002dB,-4.08360644633170e+001°)
1.19398810446427e+003	(1.37949886901121e+002dB,-4.09016298413022e+001°)
1.19674053130724e+003	(1.37941344811414e+002dB,-4.09672181614497e+001°)
1.19949930314937e+003	(1.37932780150305e+002dB,-4.10328290943798e+001°)
1.20226443461741e+003	(1.37924192902670e+002dB,-4.10984623101511e+001°)
1.20503594037179e+003	(1.37915583053610e+002dB,-4.11641174782719e+001°)
1.20781383510678e+003	(1.37906950588449e+002dB,-4.12297942677025e+001°)
1.21059813355048e+003	(1.37898295492735e+002dB,-4.12954923468687e+001°)
1.21338885046497e+003	(1.37889617752244e+002dB,-4.13612113836717e+001°)
1.21618600064636e+003	(1.37880917352977e+002dB,-4.14269510454880e+001°)
1.21898959892486e+003	(1.37872194281161e+002dB,-4.14927109991841e+001°)
1.22179966016487e+003	(1.37863448523252e+002dB,-4.15584909111264e+001°)
1.22461619926504e+003	(1.37854680065931e+002dB,-4.16242904471836e+001°)
1.22743923115840e+003	(1.37845888896110e+002dB,-4.16901092727388e+001°)
1.23026877081238e+003	(1.37837075000930e+002dB,-4.17559470526988e+001°)
1.23310483322890e+003	(1.37828238367759e+002dB,-4.18218034514996e+001°)
1.23594743344450e+003	(1.37819378984197e+002dB,-4.18876781331150e+001°)
1.23879658653036e+003	(1.37810496838074e+002dB,-4.19535707610705e+001°)
1.24165230759241e+003	(1.37801591917451e+002dB,-4.20194809984453e+001°)
1.24451461177138e+003	(1.37792664210620e+002dB,-4.20854085078819e+001°)
1.24738351424294e+003	(1.37783713706104e+002dB,-4.21513529515977e+001°)
1.25025903021771e+003	(1.37774740392661e+002dB,-4.22173139913942e+001°)
1.25314117494141e+003	(1.37765744259279e+002dB,-4.22832912886595e+001°)
1.25602996369487e+003	(1.37756725295182e+002dB,-4.23492845043842e+001°)
1.25892541179416e+003	(1.37747683489825e+002dB,-4.24152932991639e+001°)
1.26182753459066e+003	(1.37738618832899e+002dB,-4.24813173332157e+001°)
1.26473634747115e+003	(1.37729531314329e+002dB,-4.25473562663787e+001°)
1.26765186585784e+003	(1.37720420924276e+002dB,-4.26134097581256e+001°)
1.27057410520854e+003	(1.37711287653133e+002dB,-4.26794774675740e+001°)
1.27350308101666e+003	(1.37702131491534e+002dB,-4.27455590534944e+001°)
1.27643880881134e+003	(1.37692952430345e+002dB,-4.28116541743166e+001°)
1.27938130415752e+003	(1.37683750460669e+002dB,-4.28777624881383e+001°)
1.28233058265601e+003	(1.37674525573848e+002dB,-4.29438836527382e+001°)
1.28528665994361e+003	(1.37665277761459e+002dB,-4.30100173255841e+001°)
1.28824955169313e+003	(1.37656007015319e+002dB,-4.30761631638373e+001°)
1.29121927361353e+003	(1.37646713327481e+002dB,-4.31423208243646e+001°)
1.29419584144998e+003	(1.37637396690236e+002dB,-4.32084899637473e+001°)
1.29717927098395e+003	(1.37628057096114e+002dB,-4.32746702382902e+001°)
1.30016957803328e+003	(1.37618694537886e+002dB,-4.33408613040333e+001°)
1.30316677845229e+003	(1.37609309008560e+002dB,-4.34070628167531e+001°)
1.30617088813183e+003	(1.37599900501382e+002dB,-4.34732744319779e+001°)
1.30918192299940e+003	(1.37590469009841e+002dB,-4.35394958049993e+001°)
1.31219989901920e+003	(1.37581014527665e+002dB,-4.36057265908737e+001°)
1.31522483219223e+003	(1.37571537048820e+002dB,-4.36719664444354e+001°)
1.31825673855640e+003	(1.37562036567516e+002dB,-4.37382150203043e+001°)
1.32129563418657e+003	(1.37552513078200e+002dB,-4.38044719729006e+001°)
1.32434153519466e+003	(1.37542966575564e+002dB,-4.38707369564470e+001°)
1.32739445772973e+003	(1.37533397054537e+002dB,-4.39370096249768e+001°)
1.33045441797808e+003	(1.37523804510293e+002dB,-4.40032896323532e+001°)
1.33352143216332e+003	(1.37514188938245e+002dB,-4.40695766322660e+001°)
1.33659551654643e+003	(1.37504550334049e+002dB,-4.41358702782508e+001°)
1.33967668742593e+003	(1.37494888693602e+002dB,-4.42021702236927e+001°)
1.34276496113786e+003	(1.37485204013044e+002dB,-4.42684761218355e+001°)
1.34586035405594e+003	(1.37475496288756e+002dB,-4.43347876257928e+001°)
1.34896288259165e+003	(1.37465765517363e+002dB,-4.44011043885586e+001°)
1.35207256319427e+003	(1.37456011695731e+002dB,-4.44674260630111e+001°)
1.35518941235103e+003	(1.37446234820971e+002dB,-4.45337523019305e+001°)
1.35831344658715e+003	(1.37436434890432e+002dB,-4.46000827579982e+001°)
1.36144468246594e+003	(1.37426611901711e+002dB,-4.46664170838135e+001°)
1.36458313658892e+003	(1.37416765852645e+002dB,-4.47327549318991e+001°)
1.36772882559584e+003	(1.37406896741315e+002dB,-4.47990959547126e+001°)
1.37088176616484e+003	(1.37397004566044e+002dB,-4.48654398046557e+001°)
1.37404197501251e+003	(1.37387089325398e+002dB,-4.49317861340798e+001°)
1.37720946889394e+003	(1.37377151018189e+002dB,-4.49981345953012e+001°)
1.38038426460288e+003	(1.37367189643469e+002dB,-4.50644848406050e+001°)
1.38356637897177e+003	(1.37357205200535e+002dB,-4.51308365222566e+001°)
1.38675582887188e+003	(1.37347197688926e+002dB,-4.51971892925117e+001°)
1.38995263121334e+003	(1.37337167108425e+002dB,-4.52635428036258e+001°)
1.39315680294529e+003	(1.37327113459058e+002dB,-4.53298967078601e+001°)
1.39636836105593e+003	(1.37317036741095e+002dB,-4.53962506574955e+001°)
1.39958732257261e+003	(1.37306936955048e+002dB,-4.54626043048378e+001°)
1.40281370456195e+003	(1.37296814101673e+002dB,-4.55289573022311e+001°)
1.40604752412990e+003	(1.37286668181969e+002dB,-4.55953093020611e+001°)
1.40928879842186e+003	(1.37276499197178e+002dB,-4.56616599567713e+001°)
1.41253754462274e+003	(1.37266307148784e+002dB,-4.57280089188671e+001°)
1.41579377995707e+003	(1.37256092038517e+002dB,-4.57943558409281e+001°)
1.41905752168908e+003	(1.37245853868345e+002dB,-4.58607003756160e+001°)
1.42232878712281e+003	(1.37235592640484e+002dB,-4.59270421756816e+001°)
1.42560759360218e+003	(1.37225308357389e+002dB,-4.59933808939806e+001°)
1.42889395851109e+003	(1.37215001021758e+002dB,-4.60597161834764e+001°)
1.43218789927353e+003	(1.37204670636534e+002dB,-4.61260476972499e+001°)
1.43548943335364e+003	(1.37194317204898e+002dB,-4.61923750885150e+001°)
1.43879857825583e+003	(1.37183940730278e+002dB,-4.62586980106199e+001°)
1.44211535152486e+003	(1.37173541216339e+002dB,-4.63250161170608e+001°)
1.44543977074592e+003	(1.37163118666991e+002dB,-4.63913290614883e+001°)
1.44877185354475e+003	(1.37152673086386e+002dB,-4.64576364977219e+001°)
1.45211161758773e+003	(1.37142204478915e+002dB,-4.65239380797527e+001°)
1.45545908058195e+003	(1.37131712849211e+002dB,-4.65902334617561e+001°)
1.45881426027534e+003	(1.37121198202150e+002dB,-4.66565222981018e+001°)
1.46217717445671e+003	(1.37110660542847e+002dB,-4.67228042433592e+001°)
1.46554784095590e+003	(1.37100099876656e+002dB,-4.67890789523090e+001°)
1.46892627764385e+003	(1.37089516209174e+002dB,-4.68553460799536e+001°)
